text,label
The developers really nailed the profile page.,Praise
Terrible UX on the billing page.,Complaint
terrible ux on the profile page.,Complaint
This app is so slow since the iOS 17 update.,Complaint
The UI is totally glitched on Chrome.,Bug Report
Can someone explain how to change password?,Question
Can we get a dark mode for billing page?,Feature Request
Terrible UX on the checkout.,Complaint
Worst update ever.,Complaint
i hate the new settings,Complaint
Terrible UX on the settings.,Complaint
how much does dark mode cost?,Question
i wish there was a way to export.,Feature Request
Can you support iPhone?,Feature Request
can you support android?,Feature Request
Stop forcing me to use notifications.,Complaint
Can we get a dark mode for notifications?,Feature Request
how much does profile page cost?,Question
way too many ads!,Complaint
Is there a tutorial for sync?,Question
It's completely unusable now.,Complaint
Add an option to change password,Feature Request
My Linux overheats when using this,Bug Report
This app is so slow since the new patch.,Complaint
How much does settings cost?,Question
Why does the app freeze during delete account?,Bug Report
app crashes when i click save.,Bug Report
The export tool is broken on Mac.,Bug Report
Where is the sync feature located?,Question
Terrible UX on the billing page.,Complaint
This app is so slow since the v2.0.,Complaint
Please integrate with settings.,Feature Request
The last update completely ruined the experience.,Complaint
Stop forcing me to use export tool.,Complaint
highly recommend for export tool.,Praise
what does error auth_fail mean?,Question
How do I reset my settings?,Question
I'm cancelling my subscription because of sync feature.,Complaint
Can someone explain how to sync?,Question
is there any plan to add settings?,Feature Request
Why does the app freeze during pay?,Bug Report
how do i login?,Question
How much does notifications cost?,Question
Are you going to support Firefox soon?,Question
Please integrate with export tool.,Feature Request
Flawless performance on Linux.,Praise
Why does the app freeze during delete account?,Bug Report
Please add billing page.,Feature Request
The developers really nailed the settings.,Praise
the last update completely ruined the experience.,Complaint
Is Firefox supported?,Question
Getting a NULL_PTR error when trying to view history.,Bug Report
Why does the app freeze during sync?,Bug Report
Absolutely brilliant execution.,Praise
when will search bar be released?,Question
App crashes when I click next.,Bug Report
Please add export tool.,Feature Request
When will search bar be released?,Question
Where is the search bar located?,Question
is there any plan to add export tool?,Feature Request
I hate the new profile page.,Complaint
Worst update ever.,Complaint
Worst update ever,Complaint
The settings is broken on Linux.,Bug Report
i'm cancelling my subscription because of billing page.,Complaint
Why does the app freeze during delete account?,Bug Report
Is Firefox supported?,Question
How much does checkout cost?,Question
Can someone explain how to view history?,Question
Worst update ever.,Complaint
I wish there was a way to view history,Feature Request
highly recommend for notifications,Praise
Cannot load search bar on my Firefox,Bug Report
App crashes when I click delete.,Bug Report
Are you going to support Android soon?,Question
Can someone explain how to view history?,Question
error 404 pops up every time.,Bug Report
Best app for view history.,Praise
What does error TIMEOUT mean?,Question
Highly recommend for dashboard.,Praise
It's completely unusable now.,Complaint
Why does the app freeze during sync?,Bug Report
I'm cancelling my subscription because of checkout.,Complaint
Error 500 pops up every time,Bug Report
Is there any plan to add export tool?,Feature Request
Why does the app freeze during upload?,Bug Report
I hate the new search bar.,Complaint
Can we get a dark mode for export tool?,Feature Request
Highly recommend for dashboard.,Praise
Terrible UX on the export tool.,Complaint
How do I login?,Question
Best app for change password.,Praise
Please integrate with sync feature.,Feature Request
the ui is totally glitched on browser.,Bug Report
i wish there was a way to export,Feature Request
Please add dashboard.,Feature Request
I wish there was a way to export.,Feature Request
It's completely unusable now.,Complaint
How do I reset my profile page?,Question
Flawless performance on Firefox.,Praise
Add an option to export.,Feature Request
Stop forcing me to use billing page.,Complaint
Please integrate with sync feature.,Feature Request
Can you support Android?,Feature Request
It would be great if we could delete account,Feature Request
Customer service is terrible.,Complaint
Is there a tutorial for upload?,Question
Getting a AUTH_FAIL error when trying to delete account.,Bug Report
How do I delete account?,Question
Such a clean UI for delete account.,Praise
The profile page is broken on Android.,Bug Report
Love the new dark mode!,Praise
When will sync feature be released?,Question
the settings is broken on browser.,Bug Report
The UI is totally glitched on Mac.,Bug Report
can we get a dark mode for export tool?,Feature Request
Best app for download.,Praise
My Mac overheats when using this.,Bug Report
I hate the new export tool.,Complaint
Can we get a dark mode for settings?,Feature Request
The UI is totally glitched on iPhone.,Bug Report
I wish there was a way to login.,Feature Request
App crashes when I click back,Bug Report
Where is the sync feature located?,Question
app crashes when i click update.,Bug Report
how do i reset my dashboard?,Question
Customer service is terrible,Complaint
My iPad overheats when using this.,Bug Report
flawless performance on firefox.,Praise
The developers really nailed the notifications.,Praise
Are you going to support tablet soon?,Question
Can you support iPad?,Feature Request
such a clean ui for delete account.,Praise
The back button does absolutely nothing.,Bug Report
Customer service is terrible.,Complaint
is browser supported?,Question
How much does dark mode cost?,Question
The billing page is broken on iPad.,Bug Report
Add an option to view history,Feature Request
"5 stars, incredibly useful.",Praise
The summer update is amazing.,Praise
customer service is terrible.,Complaint
how do i delete account?,Question
Cannot load checkout on my iPad.,Bug Report
Is there a tutorial for pay?,Question
This saves me so much time.,Praise
How much does search bar cost?,Question
It would be great if we could export.,Feature Request
please add sync feature,Feature Request
Can we get a dark mode for billing page?,Feature Request
I'm cancelling my subscription because of notifications.,Complaint
Would love to see notifications implemented.,Feature Request
How much does notifications cost?,Question
my tablet overheats when using this.,Bug Report
Way too many ads!,Complaint
When will profile page be released?,Question
is ipad supported?,Question
Worst update ever.,Complaint
Why does the app freeze during sync?,Bug Report
Can you support Linux?,Feature Request
The material design update completely ruined the experience.,Complaint
How do I reset my dashboard?,Question
I hate the new profile page.,Complaint
please add export tool,Feature Request
It's completely unusable now.,Complaint
Way too many ads!,Complaint
Add an option to change password.,Feature Request
Please add search bar.,Feature Request
I'm cancelling my subscription because of settings.,Complaint
I'm cancelling my subscription because of settings.,Complaint
Way too many ads!,Complaint
This saves me so much time.,Praise
Stop forcing me to use checkout.,Complaint
Customer service is terrible.,Complaint
The summer update completely ruined the experience.,Complaint
Add an option to sign up.,Feature Request
This saves me so much time.,Praise
Flawless performance on Chrome.,Praise
This app is so slow since the recent patch.,Complaint
How do I export?,Question
I wish there was a way to login.,Feature Request
Way too many ads!,Complaint
Such a clean UI for pay,Praise
The recent patch completely ruined the experience.,Complaint
Can we get a dark mode for dark mode?,Feature Request
I hate the new export tool.,Complaint
The UI is totally glitched on Mac.,Bug Report
add an option to sync.,Feature Request
Absolutely brilliant execution.,Praise
The update button does absolutely nothing.,Bug Report
app crashes when i click delete.,Bug Report
"5 stars, incredibly useful.",Praise
how do i reset my billing page?,Question
When will export tool be released?,Question
Worst update ever.,Complaint
Customer service is terrible.,Complaint
app crashes when i click checkout.,Bug Report
Getting a ERR_CONNECTION error when trying to download.,Bug Report
We really need billing page in the next update.,Feature Request
Blank screen after login.,Bug Report
getting a unknown error when trying to download.,Bug Report
It would be great if we could login.,Feature Request
How much does checkout cost?,Question
What does error OOM mean?,Question
Love the new dark mode!,Praise
It would be great if we could upload.,Feature Request
Cannot load notifications on my Linux.,Bug Report
the ui is totally glitched on tablet.,Bug Report
please add notifications.,Feature Request
Stop forcing me to use dashboard.,Complaint
What does error SYS_32 mean?,Question
how do i export?,Question
The profile page is broken on browser.,Bug Report
Cannot load billing page on my browser.,Bug Report
Error SYS_32 pops up every time.,Bug Report
The cancel button does absolutely nothing.,Bug Report
What does error UNKNOWN mean?,Question
The developers really nailed the dark mode.,Praise
The recent patch is amazing.,Praise
Cannot load profile page on my browser.,Bug Report
Can someone explain how to sync?,Question
It would be great if we could export.,Feature Request
The UI is totally glitched on Android.,Bug Report
customer service is terrible.,Complaint
The material design update is amazing,Praise
Please integrate with profile page.,Feature Request
Please add checkout.,Feature Request
App crashes when I click checkout.,Bug Report
How much does settings cost?,Question
Where is the sync feature located?,Question
Best app for pay.,Praise
such a clean ui for export.,Praise
Best app for delete account.,Praise
Blank screen after upload.,Bug Report
I'm cancelling my subscription because of notifications.,Complaint
Can we get a dark mode for profile page?,Feature Request
The developers really nailed the billing page.,Praise
Worst update ever.,Complaint
add an option to login.,Feature Request
the next button does absolutely nothing.,Bug Report
The dark mode is broken on Linux.,Bug Report
What does error NULL_PTR mean?,Question
blank screen after download.,Bug Report
How do I export?,Question
Getting a UNKNOWN error when trying to download.,Bug Report
When will checkout be released?,Question
I hate the new checkout.,Complaint
Absolutely brilliant execution,Praise
Please integrate with dark mode.,Feature Request
Add an option to view history.,Feature Request
It's completely unusable now.,Complaint
Is there a tutorial for login?,Question
I hate the new profile page.,Complaint
getting a sys_32 error when trying to login.,Bug Report
The developers really nailed the profile page.,Praise
Way too many ads!,Complaint
Why does the app freeze during view history?,Bug Report
where is the dark mode located?,Question
Such a clean UI for change password,Praise
The new patch completely ruined the experience.,Complaint
This app is so slow since the iOS 17 update.,Complaint
Love the new checkout!,Praise
Please integrate with settings.,Feature Request
Highly recommend for profile page.,Praise
The save button does absolutely nothing.,Bug Report
It's completely unusable now.,Complaint
Please add export tool.,Feature Request
the save button does absolutely nothing.,Bug Report
Can we get a dark mode for dark mode?,Feature Request
How much does billing page cost?,Question
Is there any plan to add sync feature?,Feature Request
Cannot load settings on my Android.,Bug Report
Blank screen after pay,Bug Report
Please integrate with search bar.,Feature Request
Where is the sync feature located?,Question
The UI is totally glitched on iPad.,Bug Report
How do I upload?,Question
stop forcing me to use checkout.,Complaint
Blank screen after sign up.,Bug Report
My Chrome overheats when using this.,Bug Report
Can you support tablet?,Feature Request
We really need checkout in the next update.,Feature Request
worst update ever.,Complaint
Add an option to login,Feature Request
The search bar is broken on iPad.,Bug Report
When will dashboard be released?,Question
Why does the app freeze during upload?,Bug Report
Can we get a dark mode for profile page?,Feature Request
"5 stars, incredibly useful.",Praise
Way too many ads!,Complaint
customer service is terrible.,Complaint
this app is so slow since the v2.0.,Complaint
i hate the new checkout.,Complaint
please integrate with profile page.,Feature Request
Error 403 pops up every time.,Bug Report
What does error OOM mean?,Question
is mac supported?,Question
Would love to see search bar implemented.,Feature Request
Add an option to export.,Feature Request
Please integrate with checkout.,Feature Request
how much does checkout cost?,Question
I hate the new notifications.,Complaint
How much does dashboard cost?,Question
The sync feature is broken on Mac.,Bug Report
It would be great if we could pay,Feature Request
Customer service is terrible.,Complaint
Customer service is terrible.,Complaint
Is there any plan to add settings?,Feature Request
This saves me so much time.,Praise
Is there a tutorial for delete account?,Question
Please add dashboard.,Feature Request
Is there any plan to add search bar?,Feature Request
the back button does absolutely nothing.,Bug Report
are you going to support windows 11 soon?,Question
such a clean ui for sign up,Praise
Blank screen after delete account.,Bug Report
Absolutely brilliant execution.,Praise
Why does the app freeze during sync?,Bug Report
is there a tutorial for change password?,Question
Is there a tutorial for login?,Question
Is there any plan to add checkout?,Feature Request
This saves me so much time.,Praise
Where is the profile page located?,Question
How do I delete account?,Question
It would be great if we could sign up.,Feature Request
Can you support Android?,Feature Request
It would be great if we could sync.,Feature Request
How do I reset my search bar?,Question
Best app for sync.,Praise
How do I pay?,Question
how do i sign up?,Question
where is the export tool located?,Question
The developers really nailed the dark mode.,Praise
I wish there was a way to change password.,Feature Request
Error ERR_CONNECTION pops up every time.,Bug Report
Add an option to sync.,Feature Request
The developers really nailed the billing page.,Praise
Highly recommend for export tool.,Praise
My Firefox overheats when using this.,Bug Report
I wish there was a way to delete account.,Feature Request
The new patch is amazing,Praise
Customer service is terrible.,Complaint
Way too many ads!,Complaint
When will billing page be released?,Question
Blank screen after view history.,Bug Report
This saves me so much time.,Praise
Can you support browser?,Feature Request
Love the new profile page!,Praise
The last update completely ruined the experience,Complaint
